contribution_id,user_id,service,service_sensor_id,contributed_at,username,sensor_domain,sensor_type
158,101,traffic_flow,1,2025-03-15T11:59:02.394131Z,hperez548,traffic-flow,loop_detector
159,102,traffic_flow,2,2025-03-15T11:59:02.708608Z,eric42501,traffic-flow,infrared_sensor
160,103,traffic_flow,3,2025-03-15T11:59:03.011768Z,yjackson656,traffic-flow,loop_detector
161,104,traffic_flow,4,2025-03-15T11:59:03.309176Z,ohall167,traffic-flow,bluetooth_beacon
162,105,traffic_flow,5,2025-03-15T11:59:03.606181Z,longpaul390,traffic-flow,bluetooth_beacon
163,106,traffic_flow,6,2025-03-15T11:59:03.906348Z,renee63686,traffic-flow,radar_detector
164,107,traffic_flow,7,2025-03-15T11:59:04.20487Z,fstevenson966,traffic-flow,infrared_sensor
165,108,traffic_flow,8,2025-03-15T11:59:04.500811Z,stephanie82950,traffic-flow,infrared_sensor
166,109,traffic_flow,10,2025-03-15T11:59:04.793978Z,jessica19212,traffic-flow,infrared_sensor
167,110,traffic_flow,11,2025-03-15T11:59:05.095495Z,ystone180,traffic-flow,bluetooth_beacon
168,111,traffic_flow,12,2025-03-15T11:59:05.393885Z,smallnicholas169,traffic-flow,loop_detector
169,112,traffic_flow,13,2025-03-15T11:59:05.695531Z,hwalker833,traffic-flow,bluetooth_beacon
170,113,traffic_flow,14,2025-03-15T11:59:06.028786Z,bbrandt332,traffic-flow,loop_detector
171,114,traffic_flow,15,2025-03-15T11:59:06.332554Z,samanthalong309,traffic-flow,loop_detector
172,115,traffic_flow,16,2025-03-15T11:59:06.645076Z,janderson558,traffic-flow,infrared_sensor
173,116,traffic_flow,17,2025-03-15T11:59:06.946311Z,ann41287,traffic-flow,infrared_sensor
174,117,traffic_flow,18,2025-03-15T11:59:07.239266Z,kingjeffery570,traffic-flow,infrared_sensor
175,118,traffic_flow,20,2025-03-15T11:59:07.533575Z,kperez602,traffic-flow,camera_vision
176,119,traffic_flow,21,2025-03-15T11:59:07.842293Z,xhopkins597,traffic-flow,infrared_sensor
177,120,traffic_flow,22,2025-03-15T11:59:08.134041Z,lisa13339,traffic-flow,camera_vision
178,121,traffic_flow,23,2025-03-15T11:59:08.446348Z,ebradley854,traffic-flow,bluetooth_beacon
179,122,traffic_flow,24,2025-03-15T11:59:08.742847Z,zharvey700,traffic-flow,infrared_sensor
180,123,traffic_flow,25,2025-03-15T11:59:09.040945Z,usanchez352,traffic-flow,infrared_sensor
181,124,traffic_flow,26,2025-03-15T11:59:09.351818Z,jennifer15884,traffic-flow,camera_vision
182,125,traffic_flow,27,2025-03-15T11:59:09.652036Z,huffmanbilly486,traffic-flow,camera_vision
183,126,traffic_flow,28,2025-03-15T11:59:09.951824Z,gregorythompson567,traffic-flow,camera_vision
184,127,traffic_flow,29,2025-03-15T11:59:10.250581Z,ykim438,traffic-flow,radar_detector
